,Regime_0,Regime_1,Regime_2
2013-06-28,1.4045345251151874e-24,1.0,6.570921370429635e-84
2013-07-01,0.9631107875471961,0.03688077062539622,8.441827459345391e-06
2013-07-02,0.04065415992627275,0.9593455640540842,2.7601960195168836e-07
2013-07-03,0.9286673155145612,0.07133148076936835,1.2037161031610763e-06
2013-07-04,0.07033529624700881,0.9296635593072617,1.1444457166143818e-06
2013-07-05,0.8860224318317172,0.11395828714768273,1.9281020549298195e-05
2013-07-08,0.11673417436337279,0.8832650719530298,7.536835804287118e-07
2013-07-09,0.812779112518668,0.18718054075355273,4.0346727759302064e-05
2013-07-10,0.18963667862103056,0.8103627008504632,6.205285204011716e-07
2013-07-11,0.7291000141547332,0.27089549301129273,4.492834024402608e-06
2013-07-12,0.26726763939864756,0.7326594439003004,7.291670104646994e-05
2013-07-15,0.7244463517649946,0.27472154905644125,0.0008320991785196167
2013-07-16,0.2450454863874312,0.7547033096455416,0.0002512039670703669
2013-07-17,0.7469488634785889,0.253041924590458,9.211930943134527e-06
2013-07-18,0.23535375965979663,0.7646256157834608,2.0624556788142696e-05
2013-07-19,0.7398288288203988,0.2599569658014684,0.00021420537815973855
2013-07-22,0.2513094350805634,0.7485627099852449,0.0001278549341601881
2013-07-23,0.7357029796782005,0.26377184296473377,0.0005251773570880688
2013-07-24,0.25573526623407883,0.7436990917086798,0.0005656420572326139
2013-07-25,0.714273194188294,0.2853539368483736,0.0003728689633827805
2013-07-26,0.27807018256313815,0.7188858610650367,0.003043956371795469
2013-07-29,3.3837922134259e-39,2.022189215112318e-26,1.0
2013-07-30,0.9988580546126178,0.0011157427110178428,2.620267635468896e-05
2013-07-31,0.0011403124652974031,0.9988596141532826,7.338146168968969e-08
2013-08-01,0.9988593298132712,0.00114066996292339,2.2376724930865604e-10
2013-08-02,0.0011406735889441947,0.9988593254192906,9.91800424816291e-10
2013-08-05,0.9988591022919913,0.0011408906770108752,7.0309957377129935e-09
2013-08-06,0.00114086223534449,0.9988591377412355,2.3375405820665264e-11
2013-08-07,0.9988590432520499,0.001140956592279042,1.5562206886198083e-10
2013-08-08,0.0011409406282985464,0.9988590593639892,7.736577088601447e-12
2013-08-12,0.9988589077403661,0.0011410922530037696,6.625979387908381e-12
2013-08-13,0.001141045625442245,0.9988589543744116,1.5974274345863045e-13
2013-08-14,0.99885887903699,0.0011411208145198984,1.484401290607724e-10
2013-08-16,0.0011410917746311692,0.9988589082253686,9.579934787015634e-18
2013-08-19,0.9988578552300281,0.001142144769964978,5.967761441206555e-14
2013-08-20,0.0011421609989438943,0.9988578390010309,5.0251374575243485e-15
2013-08-21,0.9988575594802008,0.0011424405198089045,4.72389996443894e-16
2013-08-22,0.0011424408539553743,0.9988575591460027,2.2664822703714086e-16
2013-08-23,0.9988572845531672,0.0011427154467431764,4.355660834478966e-14
2013-08-26,0.0011427277652715946,0.9988572722347391,4.359534862001141e-15
2013-08-27,0.9988565943633804,0.0011434056366299845,1.20144211484259e-18
2013-08-28,0.0011434123727944371,0.9988565876271882,1.0255218467322822e-17
2013-08-29,5.08961461871197e-55,1.8446781956207917e-08,0.9999999815531739
2013-08-30,0.9972419532759008,0.0027568505046379997,1.1962194667298775e-06
2013-09-02,0.002756983703551959,0.9972430158698397,4.266734536758985e-10
2013-09-03,0.9972430060517029,0.002756983558440118,1.0389874641129321e-08
2013-09-04,0.0027569858530746578,0.9972430136141625,5.32787547456546e-10
2013-09-05,0.997243014125023,0.00275698587064007,4.41967922106063e-12
2013-09-06,0.0027569858703636223,0.9972430140728712,5.674443759931361e-11
2013-09-10,0.9972430141284242,0.002756985871318339,3.6468276220102126e-13
2013-09-11,0.002756985869191383,0.9972430141059763,2.4796785229451342e-11
2013-09-12,0.9972430140971331,0.0027569858687055615,3.415263009733529e-11
2013-09-13,0.0027569858668776205,0.9972430140272951,1.0583187522839995e-10
2013-09-16,0.9972430141096043,0.002756985865301052,2.519523955386955e-11
2013-09-17,0.00275698585840678,0.9972430140592664,8.235509295556077e-11
2013-09-18,0.997243014127744,0.0027569858604340647,1.1779842602824045e-11
2013-09-19,0.0027569858608741246,0.9972430141189008,2.025705510326361e-11
2013-09-20,0.9972430141320522,0.0027569858639902756,3.915486966266185e-12
2013-09-23,0.0027569858651800673,0.9972430141014413,3.3488637500578164e-11
2013-09-24,0.9972430141170868,0.002756985869667174,1.3233439920024827e-11
2013-09-25,0.0027569858608220946,0.9972430130008123,1.1382714464613144e-09
2013-09-26,0.9972430139726491,0.002756985920154336,1.0713732495353316e-10
2013-09-27,0.002756985926706967,0.9972430092932753,4.779976668695591e-09
2013-09-30,4.769518363403256e-62,1.0,1.628019526900776e-73
2013-10-01,0.9977052937576396,0.0022947000669961653,6.1753119716701055e-09
2013-10-03,0.03596564577079786,0.9640343541341571,9.500620282054146e-11
2013-10-04,0.9637623465848225,0.036237635023551366,1.839166761585829e-08
2013-10-07,0.057376260597063224,0.9426237381265685,1.2763785180570604e-09
2013-10-09,0.9413483642453355,0.05864769458008655,3.941174534454102e-06
2013-10-10,0.06864170960293105,0.931358269711726,2.0685344015904986e-08
2013-10-11,0.9307769221763715,0.0692216309551781,1.4468684908191665e-06
2013-10-14,0.07257918208347178,0.9274208131103713,4.806146600868262e-09
2013-10-15,0.9281756900360978,0.07182415569351912,1.542703434987802e-07
2013-10-17,0.07305402894805844,0.9269459651685839,5.8833736313206004e-09
2013-10-18,0.9283385091094509,0.07166137914194197,1.117486629470826e-07
2013-10-21,0.07719999243823329,0.922800001598712,5.963064085284318e-09
2013-10-22,0.923257446628061,0.0767424857614114,6.761053115087917e-08
2013-10-23,0.08046093704849527,0.919539029180983,3.3770469800501455e-08
2013-10-24,0.9211868742754789,0.07881228719087616,8.385336688641817e-07
2013-10-25,0.07970024740280529,0.9202996952455417,5.735169795575312e-08
2013-10-28,0.9238781459173473,0.07612156974118034,2.843414266118328e-07
2013-10-29,0.07763176497295408,0.922367440190499,7.948365216852999e-07
2013-10-30,0.9227041451159987,0.0772913260065914,4.52887742460743e-06
2013-10-31,0.08180812468077572,0.9181677357847078,2.413953449334442e-05
2013-11-01,8.350473381853583e-67,1.0,5.923177720905111e-185
2013-11-05,0.9947545615204598,0.0052413551198048445,4.08335975965365e-06
2013-11-06,0.1141203333854918,0.8858796659041434,7.103786902064567e-10
2013-11-07,0.8700032879138504,0.1299889405796906,7.77150650666309e-06
2013-11-08,0.2187820081711437,0.7812179874288208,4.40004330395615e-09
2013-11-11,0.7713672054278738,0.22862963417411086,3.1603980113369386e-06
2013-11-12,0.29709770474453545,0.7029022802206213,1.5034830592885576e-08
2013-11-13,0.6952279349403027,0.30476541998338774,6.64507626171925e-06
2013-11-14,0.3721836924724569,0.6278162062537693,1.012737863184395e-07
2013-11-18,0.622529484903451,0.3774422341795488,2.8280916969775136e-05
2013-11-19,0.4305153539075151,0.5694846171982324,2.8894249565350583e-08
2013-11-20,0.5676269326032528,0.43237293204197913,1.353547659984333e-07
2013-11-21,0.474046945551996,0.5259530396144182,1.4833615237540597e-08
2013-11-22,0.5238740242584463,0.4761224545821269,3.5211594544043853e-06
2013-11-25,0.5065693122766082,0.49340881514141155,2.187258201333547e-05
2013-11-26,0.5031418608411268,0.49685771620989405,4.229489963020267e-07
2013-11-27,0.5005574255326286,0.49943879361335525,3.780854056535752e-06
2013-11-28,0.5085772389508395,0.49141817276823385,4.588280954926789e-06
2013-11-29,0.4934232870282797,0.5065248105033975,5.1902468301481326e-05
2013-12-02,0.5193439080019818,0.4806371627363861,1.8929261688262075e-05
2013-12-03,0.4874584428725573,0.5124490472565338,9.250987090207954e-05
2013-12-04,3.177143262795409e-22,1.0,5.75125891261628e-52
2013-12-05,0.9999772826024331,2.8074862483329625e-07,2.243664890129926e-05
2013-12-06,2.0435627347223425e-05,0.9999772852453647,2.2791273273842667e-06
2013-12-09,0.9999204766052787,2.091286903605621e-05,5.861052564867025e-05
2013-12-10,6.412338560447527e-05,0.9999206009975569,1.5275616849003583e-05
2013-12-11,0.9999064421537938,6.45485456670809e-05,2.9009300490494103e-05
2013-12-12,9.095005872779486e-05,0.9999065286267156,2.521314513348386e-06
2013-12-13,0.9998233047785416,9.149837434185864e-05,8.519684713713133e-05
2013-12-16,0.00016699131704772178,0.9998235583675013,9.450315399335207e-06
2013-12-17,0.9995392892806642,0.00016763525696225995,0.00029307546235316986
2013-12-18,0.00044088067535976697,0.9995399196832623,1.9199641321752367e-05
2013-12-19,0.9994659223887958,0.00044155813826641204,9.251947297080265e-05
2013-12-20,0.0005256828106868144,0.9994668872001238,7.429989180487005e-06
2013-12-23,0.9994729225592852,0.000525827649310647,1.2497914148005442e-06
2013-12-24,0.000527007816311548,0.9994729136070751,7.85766195138495e-08
2013-12-26,0.9994696148136504,0.000527221733302783,3.1634530730340776e-06
2013-12-27,0.0005303676498106969,0.9994695914336266,4.091656413782119e-08
2013-12-30,0.9994670572269061,0.00053073512372253,2.207649396146985e-06
2013-12-31,0.0005329456784691392,0.9994670127585927,4.156299248190156e-08
2014-01-02,0.9994422138548714,0.0005333265562697653,2.445958887796666e-05
2014-01-03,0.0005423704557878695,0.9994417872072969,1.5842336897128594e-05
2014-01-06,3.7354768141195158e-28,3.1776137127986722e-22,1.0
2014-01-07,3.542107320049396e-07,7.223798386979247e-06,0.9999924219908467
2014-01-08,3.67666882424679e-07,6.961002759125375e-06,0.9999926713303714
2014-01-09,1.7699382733373773e-06,6.476962836173367e-06,0.9999917530989386
2014-01-10,7.3929988041200784e-06,2.545849438525643e-05,0.9999671485067627
2014-01-13,6.976405783112155e-07,3.2291934122436845e-05,0.9999670104253428
2014-01-14,1.1752345147476666e-07,3.4445456682665078e-06,0.9999964379308953
2014-01-15,2.3443396730260173e-07,3.3171996342752704e-06,0.9999964483664004
2014-01-16,1.7707909470798237e-06,7.176881357155951e-06,0.9999910523276996
2014-01-17,4.169577788950709e-06,2.1053753024093733e-05,0.9999747766692231
2014-01-20,1.3921859817636131e-05,2.5914816052695063e-05,0.999960163324171
2014-01-21,4.157093720515924e-05,9.095941427275073e-05,0.9998674696485532
2014-01-22,0.0007486348722398961,0.00028331667261558436,0.998968048455128
2014-01-23,0.0059736209182472575,0.004911885063090028,0.9891144940186906
2014-01-24,0.07674059049285231,0.05490007159785347,0.8683593379092676
2014-01-27,0.6271461036666738,0.3480962888480441,0.024757607485236144
2014-01-28,0.3515936305940087,0.6407184937116923,0.007687875694268224
2014-01-29,0.6377556011660709,0.3600881060544754,0.0021562927794613767
2014-01-30,0.35551398296285697,0.6444261564119541,5.986062513901053e-05
2014-01-31,0.6292825711058484,0.370660471549833,5.695734432352604e-05
2014-02-03,0.3667721412845821,0.6330819930174008,0.0001458656980124632
2014-02-04,3.665758277901828e-75,1.0,5.218244374254153e-115
2014-02-05,0.9999999359777709,1.3606154134271794e-15,6.402223994750201e-08
2014-02-06,6.180343298630146e-08,0.9999882927181492,1.1645478420349379e-05
2014-02-07,0.9999995901421516,6.195095049408381e-08,3.479068723551772e-07
2014-02-10,4.0318757513302117e-07,0.9999937957128163,5.801099635134398e-06
