Date,Regime_0,Regime_1,Regime_2
2021-10-14,1.0,9.380516365208116e-27,1.1080582665257268e-77
2021-10-18,1.6310774642853723e-06,0.999998368920808,1.7318148727146402e-13
2021-10-19,0.9999316633579108,6.833503373121848e-05,1.608531850614751e-09
2021-10-20,5.98330383888353e-05,0.9999401667084538,2.5433528246722354e-10
2021-10-21,0.9998888306279077,0.00011106506140560623,1.0431003080743575e-07
2021-10-22,0.0001145452820843811,0.9998854516835046,3.033691852631941e-09
2021-10-25,0.9998231394040054,0.0001768545689669776,6.028317017875776e-09
2021-10-26,0.0001691358023447118,0.9998308637847647,4.1367351505963845e-10
2021-10-27,0.9997326578259734,0.0002673347746641194,7.399231562702908e-09
2021-10-28,0.00022399720925119282,0.9997758134946995,1.8929491632628722e-07
2021-10-29,0.9996766108653482,0.00032292337796446666,4.657569265970412e-07
2021-11-01,0.00031059232167286515,0.9996892956722797,1.1200702190867477e-07
2021-11-02,0.9995646434475934,0.0004351835961096667,1.7295526556542981e-07
2021-11-03,0.00041480719089414836,0.9995850978041357,9.500598400647318e-08
2021-11-04,0.9993910970040962,0.0006088546812498696,4.831513917593503e-08
2021-11-08,0.0005787389846025229,0.9994212459125721,1.5102492537276075e-08
2021-11-09,0.9991204529672165,0.000879364807109532,1.822261612434877e-07
2021-11-10,0.000841928009243839,0.9991579934195215,7.857261502706689e-08
2021-11-11,0.9989277493461899,0.001070950870530951,1.2997849102835114e-06
2021-11-12,0.0010412768732594529,0.9989586575049549,6.562243249132663e-08
2021-11-15,0.9985827597551145,0.0014158705163241922,1.3697300669139153e-06
2021-11-16,0.0014002472891948897,0.998596844461472,2.9082499352665273e-06
2021-11-17,0.9966728079087999,0.0016666581151999471,0.001660533975239894
2021-11-18,0.0012353912523038206,0.9967285740162701,0.002036034730021413
2021-11-22,0.04249267036888989,0.0014210926989804426,0.9560862369320016
2021-11-23,0.0008774153448219082,0.042527186241801025,0.9565953984121949
2021-11-24,0.02180983754049053,0.0009355273092461735,0.9772546351509025
2021-11-25,1.5439779484064975e-06,0.021814372308681714,0.9781840837146547
2021-11-26,3.948525322989897e-06,1.7442066295168343e-06,0.9999943072669486
2021-11-29,0.0001037612551602219,5.75083980656563e-06,0.9998904879045288
2021-11-30,0.00011746278811993374,0.00011106466740961605,0.9997714725461817
