Date,GOLDBEES.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,^NSEBANK,^NSEI,GOLDBEES.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,^NSEBANK,^NSEI,GOLDBEES.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,^NSEBANK,^NSEI,GOLDBEES.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,^NSEBANK,^NSEI,GOLDBEES.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,^NSEBANK,^NSEI,NIFTY_GOLD_CORR,NIFTY_BANK_CORR,INDIA_VIX,USDINR
2010-05-31,0.0013650106485707525,-0.004402090358976318,-0.007264207216602148,0.008633553406416805,0.005487316420495825,0.003898116225311332,0.19928155145205648,0.28653999192046076,0.25057059191690817,0.3424161048766788,0.3035663094633255,0.2525055321169845,0.06804139041959623,-0.04129854150371459,-0.00781776975643389,0.02889845446057482,-0.04212569115911735,-0.026126120398736297,0.06038076646452164,0.04789212495005677,0.003489725744390591,-0.01321469138810466,0.02726437007939194,-0.01234026577389643,2.0450013297036604,1.2645557276297323,0.16027775228871755,0.5479239064531506,0.7955446621149945,0.0755621941677395,-0.3050192887739448,0.905893621114347,0.0,0.0012527531939439118
2010-06-01,0.020864630774736215,-0.017660012282555426,-0.012660016756190662,-0.03352138826376161,-0.026127627389913477,-0.02282594692275186,0.20874785214700145,0.2872475741711198,0.2517632005266472,0.36439310511651213,0.31205513461257817,0.2601249035574786,0.08625888109520718,-0.04228177300510927,-0.00981517033858148,-0.003059675096720893,-0.05243829401107347,-0.03463140811644172,0.06360858659895091,0.044762908102913154,0.0028884300874189007,-0.012822730926441171,0.024495976412916686,-0.013579728544159493,2.5182215793112532,0.8692845149724501,0.22558589481166555,0.1994674648403655,0.32930604952483133,-0.4304472793891037,-0.35377342676172796,0.9119918037217846,0.10026483495769489,0.015639122641056158
2010-06-02,-0.0025342954764608905,-0.0011054404894864645,0.006058397792037873,0.0004948321383371201,0.008049221026199094,0.009989517603451015,0.20821593064354343,0.2854251031083962,0.2499518754788061,0.3643888731357094,0.31417987661075647,0.2630596159979937,0.08749776017729527,-0.033031748705471875,-0.013748220291604052,-0.0020777322082916605,-0.04063923682949944,-0.02049792321591648,0.06698887740402652,0.042172969794176,0.0020535742170901343,-0.012432433783611151,0.022365299495330143,-0.014110279342778989,2.586005347847082,0.8187043808324596,0.25555537580464627,0.2669510577248491,0.4290962433249487,-0.23195729726202305,-0.3568061069762621,0.9117080143268856,-0.045392011632990226,-0.006010682092142283
2010-06-03,-0.008715139156773022,0.02835889342611697,0.021872955361736057,0.01953399105349618,0.021240183746664254,0.018058288709870807,0.21185963045235184,0.30188095716378727,0.2575412630498413,0.3673531278806159,0.32473917765678306,0.2704221145140586,0.06708237964962183,0.005328325723991334,0.021037084277871987,0.030337031614163124,-0.020277615219305156,0.0038598469738475583,0.06941921119447096,0.041317351785594536,0.0026166887577823094,-0.010505397249836502,0.02111829879157979,-0.013586551967930412,2.444482657928623,1.305151029532294,0.5002027775435616,0.627672316939005,0.5981866761962733,0.02874746695436808,-0.37034091936420294,0.9146268151185928,-0.08897691977627131,-0.0064102402126319236
2010-06-04,-0.008157905167283097,-0.010442803365519948,0.01147167882393263,0.0003882335870635245,0.007270131894737686,0.004891889247627512,0.20080665717774496,0.28975408947013576,0.25209580762829426,0.3571538705746915,0.3041012860921398,0.26518054164522215,0.03363292571064447,0.02037297843327024,0.04904919160424992,0.00583690383137947,0.01938850881012555,0.023405545955878404,0.07026117869779956,0.04136259678507416,0.0042134498969119425,-0.00958195898562609,0.02180806311225891,-0.012188096315974785,2.57863816186292,0.8446628057936073,0.543726575994545,0.83508807390489,0.748475746231503,0.24279512243322557,-0.39025819050654514,0.9154789065096987,-0.02253861532376955,0.007741948609711002
2010-06-07,0.020395720263157724,-0.004799466359673654,-0.020997558715248,-0.02274050282682638,-0.017274894193609724,-0.01976438516210688,0.19585958070384304,0.23510818134560196,0.25365438819795794,0.30764418384684955,0.27141090087318154,0.2432186000260232,0.07487409400385525,-0.029754036696094666,0.004433166704275182,-0.06637941224068666,-0.037659620839036845,-0.030730147615384173,0.07288720014821679,0.03885098804369467,0.0035882552027676445,-0.012199950096593417,0.019672427997854774,-0.013345236640461585,3.014677917372955,0.724164286193233,0.309869951976972,0.2350197311331122,0.45907650163315594,-0.2729873656033825,-0.42303420256381874,0.9183933305883932,0.13228157559038123,-0.001493804821008804
2010-06-08,0.023310249716094855,-0.007432990846835241,-0.006419145234688117,-0.011262789069218515,-0.011546726182125155,-0.009316627402413569,0.19919709938628286,0.23368977409682073,0.25392935573101555,0.3078164011323575,0.27360301761507727,0.24238109701755242,0.07775255944224257,-0.043935512028550505,0.003592813482889312,-0.06686644284959742,-0.04579207632009341,-0.029019753613399257,0.07567153564798772,0.035612293923166866,0.003082701549600567,-0.014906607028513595,0.017249291076121564,-0.014300072304882607,3.8444895445014446,0.4641518788602167,0.017370547132603425,-0.037184930984055634,0.109697020478785,-0.5558800868490578,-0.4318148095271913,0.9192899560873871,0.027867120150903313,0.0008549030721234363
2010-06-09,-0.010138925109688501,0.009770683103242694,-0.011131728409371489,0.010688406623615476,0.005759205276664847,0.0026467700212100542,0.1887680258798641,0.23059536512586404,0.25536884873332927,0.305424504856882,0.2715113550183423,0.2420341172680816,0.04102878857548786,-0.04759715871663239,-0.015331662005714897,-0.0700864182068669,-0.049782947314010007,-0.030320091651982684,0.07671032510584049,0.031971440777856595,0.0021007509628492194,-0.017908448053529022,0.014322333421365385,-0.015428508280824,3.3862186883928627,0.9005381428783487,-0.1256470505447733,0.04357562874571903,0.2428896559781031,-0.5120135107381951,-0.43242694412638943,0.9196510018588392,-0.021202662518100546,-0.000427086418570477
2010-06-10,-0.011506239892031256,0.025282151913551765,0.007847569207114269,0.008241948532056176,0.011717680920974471,0.01565911965825495,0.19335664930449742,0.25021332625842213,0.2547635929751171,0.3069976560626624,0.2748772301375857,0.24885732812590017,0.03423163063616674,-0.018773500338473803,-0.016570996800572613,-0.0526683902049514,-0.04367995584241646,-0.019367009708395555,0.07735428303228913,0.02960371147507708,0.0013360285851092457,-0.020014194634773223,0.011524123137040996,-0.016113148090308844,3.2905128859212813,1.2193579180458114,-0.1759637918811743,0.07119974048975299,0.6313361101646784,-0.12391229323793386,-0.45540281906989133,0.921146442468594,-0.05894885853718013,-0.0012818066979431997
2010-06-11,-0.0032092259045835014,0.01573469469160127,-0.005594266886072896,0.03058057715319018,0.011266314715796755,0.008023864690351656,0.19144860610230763,0.2557616801735232,0.24520231685927418,0.31490164432650963,0.27127589596747365,0.24359417887427343,0.020521230764001697,0.003610455177847527,-0.0020666158853639427,0.0026349747067135887,-0.014318357751286759,0.005075114882939102,0.07734768166692015,0.028244772442260434,0.0013965671212014805,-0.019246626979465904,0.010176899726673632,-0.015587489402372097,3.007658104029744,1.5670930628930808,-0.5044549896139487,-0.04751835055910457,0.7987480936568156,-0.24635874071812106,-0.47574512194841456,0.9303448728621886,-0.05283017428416126,0.0
2010-06-14,0.0013369290079767726,0.013795400930224577,0.04396090248850548,0.016341682803689972,0.008712628429257574,0.015304696135574059,0.19097066553251826,0.2558815171779626,0.2849148079221592,0.30367163352990983,0.2722387604268466,0.24766332426845772,0.024481446439248655,0.02953552539779003,0.05595869697098954,0.046185731587973455,0.0007977428653935803,0.027233798222949135,0.0775495334789633,0.028162349893002887,0.0038380791810945264,-0.016607986874008596,0.009531572628019437,-0.014128157390483558,2.8552973208477934,1.7707336459231469,0.27317592094714654,0.16529195595050045,0.786817517984843,-0.05009689626787587,-0.4778175188503097,0.9265358116719407,-0.08565735401811103,-0.0074865983769217825
2010-06-15,-0.0046322065424655445,-0.004688039125811061,-0.004259765556376083,0.002444735063890091,0.0021292036458784303,0.004742463285200671,0.18312719233727165,0.2474852584236853,0.28590455755877864,0.30361662276182244,0.27194383145023393,0.24793393758550716,0.03481488165317592,0.042572959894543905,0.046321659213237165,0.04458156657059753,0.006547460990286913,0.030821897343936033,0.07829754262020996,0.02918887554005551,0.005898263080938215,-0.014168622140196792,0.009362731344642345,-0.012492087342620022,2.8178409547595398,1.7537250179303459,-0.122086029649291,0.1027724949438619,0.6999359921602447,-0.0046749646436467845,-0.47911909943319475,0.9261202211593652,-0.04226584699158353,0.0
2010-06-16,0.007500741427634683,0.006186568346908894,0.012688388205273737,-0.007644582821148882,0.0036109437106535136,0.002106331401438677,0.18078353447356557,0.2398656366146327,0.2841571611490547,0.29296562525114633,0.2249429311064401,0.22010616489469734,0.03063572663308256,0.06432135428519858,0.07032477425580375,0.05938014277555714,0.05275933697600976,0.06376473967447382,0.07874557069249148,0.031292687716921536,0.008789367695621726,-0.011120734749945902,0.011483736365875153,-0.009424610747883165,2.9860448105093496,1.6811711681884376,0.2018901524673525,-0.21141232606321844,0.7291419789178144,-0.029172486215770507,-0.47596633420669276,0.9263696653560498,0.03139219965549711,0.00021548106043978166
2010-06-17,-0.003586565765072547,0.01014664619601402,-0.0016428032856581343,0.01271326577297649,0.0025550671560619076,0.00792991090326356,0.17721618284518617,0.23620867922607983,0.2843427690571221,0.2948561577260692,0.22428468851542543,0.22058829034278812,0.03672291708455466,0.08534362938129902,0.06942927696972867,0.07145356466283115,0.047827808096943425,0.06614317922643398,0.0795676355996352,0.03417784353601825,0.011731263008678857,-0.007684849197584845,0.013337582924543057,-0.006312841167744275,3.3321599104024595,1.6922367679857733,0.26895588177835733,0.21442067082925795,0.9443310139120635,0.3868149879020664,-0.5190314963279147,0.9239894994833532,-0.08028229769294948,-0.006895059165617834
2010-06-18,0.004308489916881264,-0.0022044444137119257,0.007721823402125905,-0.015913763091952804,-0.0038644828407291554,-0.0023223408766521736,0.17728380968441088,0.22858047134484522,0.28175134077218256,0.30176212724227425,0.2241404209231181,0.22021736077012366,0.04113079381073326,0.0974177078199816,0.08561830601489762,0.059062832760992334,0.04822291073035068,0.06721559917595754,0.0803406676886252,0.03737274284067349,0.015228124881512166,-0.004920353493342236,0.015011181718735623,-0.0033862328061237666,3.4452040621489006,1.2304576170753951,0.2894222146732651,-0.25395890963958107,0.8014972486877677,0.2505886120195861,-0.5189162051716562,0.9239594153204929,-0.04268591274406175,-0.0017357741546936145
2010-06-21,0.0016019034748027128,0.003589963176066524,0.00523997071065585,0.010717430050336763,0.01898446313193425,0.017234770901867202,0.17728597731957557,0.22759275351126268,0.2815628529960772,0.28967018644090153,0.229509813389378,0.22561707930388722,0.04106231045742126,0.1025644515182742,0.08347995887584791,0.042047603799827415,0.07381768716021808,0.08279808517551746,0.08106733387872106,0.04057126819741977,0.01839828457405376,-0.003030582728839054,0.017571370560464726,1.0994634340389273e-05,3.7605009709002593,0.9085311318100747,0.13681160893438754,-0.09822450088813088,0.9505724644439225,0.4756930628249987,-0.5084911179211823,0.9256922625253647,-0.027555073260920326,-0.0076070090608391094
