,Strategy
2013-06-28,0.0041537515642619096
2013-07-01,0.0314557926384168
2013-07-02,-0.012334048397654533
2013-07-03,0.002673177906064861
2013-07-04,0.0169684842088591
2013-07-05,-0.0034399552807728995
2013-07-08,0.0031259281640066954
2013-07-09,0.007435572521428957
2013-07-10,0.0007589141339769638
2013-07-11,0.022055255792868544
2013-07-12,0.07010192038896113
2013-07-15,0.0077533320112346815
2013-07-16,-0.0032564756376350767
2013-07-17,0.0042289783978574635
2013-07-18,0.01165545141854913
2013-07-19,0.0062530744756125745
2013-07-22,0.006611421931372321
2013-07-23,0.019471798850033417
2013-07-24,0.0014725464629861986
2013-07-25,-0.017399672255816317
2013-07-26,-0.0004407057831264178
2013-07-29,-0.011504582706984708
2013-07-30,-0.0031226173655467394
2013-07-31,0.015677460203996015
2013-08-01,0.024683286548247033
2013-08-02,-0.006994514380979204
2013-08-05,0.0015321157475624379
2013-08-06,-0.012991479190030856
2013-08-07,-0.010907647811638785
2013-08-08,0.0039160205413242615
2013-08-12,-0.003908832164572181
2013-08-13,0.02071871327592609
2013-08-14,-0.0007395346458530999
2013-08-16,0.006610402331392426
2013-08-19,-0.0003308102336351666
2013-08-20,0.004086285374017065
2013-08-21,0.003857904281906724
2013-08-22,0.01470536346980193
2013-08-23,0.01860322843516216
2013-08-26,0.012464343107243831
2013-08-27,-0.04981734875676098
2013-08-28,0.016144061830207855
2013-08-29,0.0020196140565623775
2013-08-30,0.00022322847065212137
2013-09-02,0.0273558814622533
2013-09-03,-0.009378562875325144
2013-09-04,0.01567731246928806
2013-09-05,-0.019219132439298195
2013-09-06,0.004486002959801036
2013-09-10,0.023767747063629597
2013-09-11,-0.0020731398024615706
2013-09-12,-0.009465492355710484
2013-09-13,-0.0019465373258593063
2013-09-16,-0.00634434643644649
2013-09-17,-0.0029658185019667974
2013-09-18,-0.0009996606133629404
2013-09-19,0.015185430196528297
2013-09-20,-0.004380089110910771
2013-09-23,-0.006078196886792106
2013-09-24,-0.0007894950808039267
2013-09-25,-0.02074067129579891
2013-09-26,0.0004880850665996752
2013-09-27,0.0013973474894268837
2013-09-30,0.0011287113745699316
2013-10-01,-0.010733520819433911
2013-10-03,0.00389577367668566
2013-10-04,-0.00023703980477590692
2013-10-07,0.000958040130210244
2013-10-09,-0.010483838883014981
2013-10-10,0.003026799740317409
